
Using cuda device
Logging to runs/v1/PPO_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.48e+03 |
|    ep_rew_mean     | 8        |
| time/              |          |
|    fps             | 11       |
|    iterations      | 1        |
|    time_elapsed    | 701      |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.3e+03     |
|    ep_rew_mean          | 5.33        |
| time/                   |             |
|    fps                  | 13          |
|    iterations           | 2           |
|    time_elapsed         | 1219        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.007505258 |
|    clip_fraction        | 0.0667      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.0825      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0117     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00466    |
|    value_loss           | 0.189       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.51e+03    |
|    ep_rew_mean          | 2.67        |
| time/                   |             |
|    fps                  | 13          |
|    iterations           | 3           |
|    time_elapsed         | 1815        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.014033921 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | 0.103       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00838    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0122     |
|    value_loss           | 0.00223     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.4e+03     |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 13          |
|    iterations           | 4           |
|    time_elapsed         | 2360        |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.014387997 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.714       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0124     |
|    value_loss           | 0.000526    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.18e+03    |
