
Logging to runs/v1/PPO_36
------------------------------
| time/              |       |
|    fps             | 49    |
|    iterations      | 1     |
|    time_elapsed    | 206   |
|    total_timesteps | 10240 |
------------------------------
---------------------------------------
| time/                   |           |
|    fps                  | 62        |
|    iterations           | 2         |
|    time_elapsed         | 325       |
|    total_timesteps      | 20480     |
| train/                  |           |
|    approx_kl            | 0.4367811 |
|    clip_fraction        | 0.705     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.51     |
|    explained_variance   | -26.8     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0908   |
|    n_updates            | 500       |
|    policy_gradient_loss | -0.0429   |
|    value_loss           | 1.36e-07  |
---------------------------------------
----------------------------------------
| time/                   |            |
|    fps                  | 69         |
|    iterations           | 3          |
|    time_elapsed         | 443        |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.36994353 |
|    clip_fraction        | 0.687      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.56      |
|    explained_variance   | -22.8      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0948    |
|    n_updates            | 510        |
|    policy_gradient_loss | -0.0558    |
|    value_loss           | 4.33e-08   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.82e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 69         |
|    iterations           | 4          |
|    time_elapsed         | 585        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.37178615 |
|    clip_fraction        | 0.689      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.61      |
|    explained_variance   | -35.6      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 520        |
|    policy_gradient_loss | -0.0629    |
|    value_loss           | 6.09e-08   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 8.52e+03  |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 66        |
|    iterations           | 5         |
|    time_elapsed         | 773       |
|    total_timesteps      | 51200     |
| train/                  |           |
|    approx_kl            | 0.2851049 |
|    clip_fraction        | 0.66      |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.67     |
|    explained_variance   | -29       |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0758   |
|    n_updates            | 530       |
|    policy_gradient_loss | -0.0698   |
|    value_loss           | 4.82e-08  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.58e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 66         |
|    iterations           | 6          |
|    time_elapsed         | 918        |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.38446197 |
|    clip_fraction        | 0.695      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.68      |
|    explained_variance   | -1.79      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.13      |
|    n_updates            | 540        |
|    policy_gradient_loss | -0.077     |
|    value_loss           | 2.86e-08   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 7.58e+03  |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 69        |
|    iterations           | 7         |
|    time_elapsed         | 1038      |
|    total_timesteps      | 71680     |
| train/                  |           |
|    approx_kl            | 0.5378665 |
|    clip_fraction        | 0.721     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.51     |
|    explained_variance   | -2.96     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.145    |
|    n_updates            | 550       |
|    policy_gradient_loss | -0.0826   |
|    value_loss           | 2.62e-07  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 7.58e+03  |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 70        |
|    iterations           | 8         |
|    time_elapsed         | 1161      |
|    total_timesteps      | 81920     |
| train/                  |           |
|    approx_kl            | 0.5211279 |
|    clip_fraction        | 0.715     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.52     |
|    explained_variance   | -18       |
|    learning_rate        | 0.0003    |
|    loss                 | -0.131    |
|    n_updates            | 560       |
|    policy_gradient_loss | -0.0715   |
|    value_loss           | 3.13e-08  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 9.32e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 69         |
|    iterations           | 9          |
|    time_elapsed         | 1329       |
|    total_timesteps      | 92160      |
| train/                  |            |
|    approx_kl            | 0.44814858 |
|    clip_fraction        | 0.705      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.5       |
|    explained_variance   | -35.2      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0879    |
|    n_updates            | 570        |
|    policy_gradient_loss | -0.0652    |
|    value_loss           | 1.96e-08   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 9.41e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 69         |
|    iterations           | 10         |
|    time_elapsed         | 1469       |
|    total_timesteps      | 102400     |
| train/                  |            |
|    approx_kl            | 0.36248225 |
|    clip_fraction        | 0.668      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.56      |
|    explained_variance   | -25.7      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.127     |
|    n_updates            | 580        |
|    policy_gradient_loss | -0.0618    |
|    value_loss           | 4.94e-08   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 8.7e+03   |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 68        |
|    iterations           | 11        |
|    time_elapsed         | 1633      |
|    total_timesteps      | 112640    |
| train/                  |           |
|    approx_kl            | 0.3762726 |
|    clip_fraction        | 0.695     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.58     |
|    explained_variance   | -14.3     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0965   |
|    n_updates            | 590       |
|    policy_gradient_loss | -0.0634   |
|    value_loss           | 7.97e-08  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.1e+03    |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 67         |
|    iterations           | 12         |
|    time_elapsed         | 1815       |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.37946996 |
|    clip_fraction        | 0.679      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.54      |
|    explained_variance   | -24.2      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0952    |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0611    |
|    value_loss           | 7.91e-08   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.1e+03    |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 68         |
|    iterations           | 13         |
|    time_elapsed         | 1933       |
|    total_timesteps      | 133120     |
| train/                  |            |
|    approx_kl            | 0.44238567 |
|    clip_fraction        | 0.692      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.51      |
|    explained_variance   | -3.91      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.112     |
|    n_updates            | 610        |
|    policy_gradient_loss | -0.0717    |
|    value_loss           | 2.65e-08   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.18e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 69         |
|    iterations           | 14         |
|    time_elapsed         | 2075       |
|    total_timesteps      | 143360     |
| train/                  |            |
|    approx_kl            | 0.36277378 |
|    clip_fraction        | 0.69       |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.52      |
|    explained_variance   | -16.3      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.113     |
|    n_updates            | 620        |
|    policy_gradient_loss | -0.0669    |
|    value_loss           | 1.93e-08   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 7.94e+03  |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 69        |
|    iterations           | 15        |
|    time_elapsed         | 2219      |
|    total_timesteps      | 153600    |
| train/                  |           |
|    approx_kl            | 0.3883323 |
|    clip_fraction        | 0.691     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.54     |
|    explained_variance   | -24.6     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.108    |
|    n_updates            | 630       |
|    policy_gradient_loss | -0.0634   |
|    value_loss           | 2.38e-08  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 7.67e+03  |
|    ep_rew_mean          | 0         |
| time/                   |           |
|    fps                  | 67        |
|    iterations           | 16        |
|    time_elapsed         | 2410      |
|    total_timesteps      | 163840    |
| train/                  |           |
|    approx_kl            | 0.4759013 |
|    clip_fraction        | 0.685     |
|    clip_range           | 0.2       |
|    entropy_loss         | -3.53     |
|    explained_variance   | -26.6     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0724   |
|    n_updates            | 640       |
