Using cuda device
Wrapping the env in a VecTransposeImage.
Logging to runs/v1/PPO_6
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.44e+03 |
|    ep_rew_mean     | 0        |
| time/              |          |
|    fps             | 23       |
|    iterations      | 1        |
|    time_elapsed    | 620      |
|    total_timesteps | 14336    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.18e+03    |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 33          |
|    iterations           | 2           |
|    time_elapsed         | 867         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.016696919 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | 0.721       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0301     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 0.000519    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.22e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 39         |
|    iterations           | 3          |
|    time_elapsed         | 1084       |
|    total_timesteps      | 43008      |
| train/                  |            |
|    approx_kl            | 0.02606518 |
|    clip_fraction        | 0.219      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.89      |
|    explained_variance   | 0.616      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.077     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0396    |
|    value_loss           | 0.000377   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.24e+03    |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 41          |
|    iterations           | 4           |
|    time_elapsed         | 1380        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.033110112 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | 0.459       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0915     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.051      |
|    value_loss           | 0.000195    |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 2.92e+03 |
|    ep_rew_mean          | 0        |
| time/                   |          |
|    fps                  | 44       |
|    iterations           | 5        |
|    time_elapsed         | 1603     |
|    total_timesteps      | 71680    |
| train/                  |          |
|    approx_kl            | 0.032    |
|    clip_fraction        | 0.275    |
|    clip_range           | 0.2      |
|    entropy_loss         | -1.85    |
|    explained_variance   | 0.206    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0621  |
|    n_updates            | 40       |
|    policy_gradient_loss | -0.0458  |
|    value_loss           | 0.000692 |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 3.81e+03  |
|    ep_rew_mean          | 0.0714    |
| time/                   |           |
|    fps                  | 45        |
|    iterations           | 6         |
|    time_elapsed         | 1904      |
|    total_timesteps      | 86016     |
| train/                  |           |
|    approx_kl            | 0.0370132 |
|    clip_fraction        | 0.308     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.83     |
|    explained_variance   | -0.00311  |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0965   |
|    n_updates            | 50        |
|    policy_gradient_loss | -0.043    |
|    value_loss           | 0.00956   |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.25e+03   |
|    ep_rew_mean          | 0.333      |
| time/                   |            |
|    fps                  | 46         |
|    iterations           | 7          |
|    time_elapsed         | 2137       |
|    total_timesteps      | 100352     |
| train/                  |            |
|    approx_kl            | 0.05030002 |
|    clip_fraction        | 0.368      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.79      |
|    explained_variance   | -2.86      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0773    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0616    |
|    value_loss           | 0.000197   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.38e+03    |
|    ep_rew_mean          | 0.294       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 8           |
|    time_elapsed         | 2402        |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.056008477 |
|    clip_fraction        | 0.389       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | -2.77       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0803     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0604     |
|    value_loss           | 5.05e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.2e+03     |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 9           |
|    time_elapsed         | 2747        |
|    total_timesteps      | 129024      |
| train/                  |             |
|    approx_kl            | 0.047393225 |
|    clip_fraction        | 0.374       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.77       |
|    explained_variance   | -1.25       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0676     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0563     |
|    value_loss           | 1.32e-05    |
