Using cuda device
Wrapping the env in a VecTransposeImage.
Logging to runs/v1/PPO_11
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.08e+03 |
|    ep_rew_mean     | 0        |
| time/              |          |
|    fps             | 12       |
|    iterations      | 1        |
|    time_elapsed    | 805      |
|    total_timesteps | 10240    |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.62e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 14         |
|    iterations           | 2          |
|    time_elapsed         | 1452       |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.03916572 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.93      |
|    explained_variance   | 0.64       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0921    |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0385    |
|    value_loss           | 0.00627    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.62e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 3          |
|    time_elapsed         | 2040       |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.08296274 |
|    clip_fraction        | 0.414      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.88      |
|    explained_variance   | 0.377      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.121     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0805    |
|    value_loss           | 0.00263    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.62e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 4          |
|    time_elapsed         | 2625       |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.11051532 |
|    clip_fraction        | 0.5        |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.82      |
|    explained_variance   | 0.107      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.114     |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0798    |
|    value_loss           | 0.00618    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.37e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 5          |
|    time_elapsed         | 3234       |
|    total_timesteps      | 51200      |
| train/                  |            |
|    approx_kl            | 0.13291326 |
|    clip_fraction        | 0.517      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.78      |
|    explained_variance   | -0.0461    |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0885    |
|    value_loss           | 0.000914   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.37e+03   |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 6          |
|    time_elapsed         | 3877       |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.12108018 |
|    clip_fraction        | 0.491      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.77      |
|    explained_variance   | 0.754      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.147     |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.0878    |
|    value_loss           | 0.000226   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.7e+03    |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 7          |
|    time_elapsed         | 4565       |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.10623922 |
|    clip_fraction        | 0.502      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.74      |
|    explained_variance   | 0.699      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.122     |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0812    |
|    value_loss           | 0.000106   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.33e+03    |
|    ep_rew_mean          | 0.333       |
| time/                   |             |
|    fps                  | 15          |
|    iterations           | 8           |
|    time_elapsed         | 5175        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.114404246 |
|    clip_fraction        | 0.534       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.672       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.127      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0809     |
|    value_loss           | 9.24e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.22e+03   |
|    ep_rew_mean          | 0.308      |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 9          |
|    time_elapsed         | 5782       |
|    total_timesteps      | 92160      |
| train/                  |            |
|    approx_kl            | 0.14897707 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.62      |
|    explained_variance   | 0.679      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.145     |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0937    |
|    value_loss           | 3.49e-05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.27e+03   |
|    ep_rew_mean          | 0.25       |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 10         |
|    time_elapsed         | 6442       |
|    total_timesteps      | 102400     |
| train/                  |            |
|    approx_kl            | 0.13428119 |
|    clip_fraction        | 0.585      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.61      |
|    explained_variance   | 0.603      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.121     |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.091     |
|    value_loss           | 1.55e-05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.73e+03   |
|    ep_rew_mean          | 0.2        |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 11         |
|    time_elapsed         | 7133       |
|    total_timesteps      | 112640     |
| train/                  |            |
|    approx_kl            | 0.13992165 |
|    clip_fraction        | 0.572      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.58      |
|    explained_variance   | 0.708      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.122     |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0843    |
|    value_loss           | 1.51e-05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.02e+03   |
|    ep_rew_mean          | 0.19       |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 12         |
|    time_elapsed         | 7738       |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.13750139 |
|    clip_fraction        | 0.555      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.52      |
|    explained_variance   | 0.721      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0897    |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0777    |
|    value_loss           | 1.25e-05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.02e+03   |
|    ep_rew_mean          | 0.19       |
| time/                   |            |
|    fps                  | 15         |
|    iterations           | 13         |
|    time_elapsed         | 8341       |
|    total_timesteps      | 133120     |
| train/                  |            |
|    approx_kl            | 0.19715074 |
|    clip_fraction        | 0.614      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.43      |
|    explained_variance   | 0.283      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.125     |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0878    |
|    value_loss           | 6.62e-06   |
